text,label,start_char,end_char
the 17th this morning,TIME,3,24
Brian,PERSON,65,70
Ballantine,ORG,149,159
Rolls,PRODUCT,164,169
Five,CARDINAL,177,181
this morning,TIME,226,238
Carter,PERSON,470,476
afternoon,TIME,502,511
Parker,PERSON,636,642
Harry,PERSON,655,660
Brian Hall,FAC,796,806
7 30,DATE,813,817
the day,DATE,899,906
one,CARDINAL,1011,1014
Wass,PERSON,1040,1044
first,ORDINAL,2339,2344
Carter,PERSON,2424,2430
first,ORDINAL,2983,2988
first,ORDINAL,3087,3092
another hour,TIME,3127,3139
Keith Parker,PERSON,3450,3462
this afternoon,TIME,3529,3543
Waller,PERSON,3633,3639
Wei,PERSON,3680,3683
Dale,PERSON,4068,4072
one,CARDINAL,4292,4295
Sutton,PERSON,4378,4384
Carter,PERSON,4400,4406
Keith,PERSON,4416,4421
Michael,PERSON,4423,4430
this morning,TIME,4549,4561
eight,CARDINAL,4574,4579
Brian Hall,PERSON,4614,4624
Bond,ORG,4773,4777
50,MONEY,4795,4797
400,MONEY,4808,4811
one,CARDINAL,4889,4892
Keith,PERSON,5489,5494
DH,ORG,5938,5940
Evansville,GPE,6068,6078
Indiana,GPE,6080,6087
Evansville,GPE,6285,6295
Indiana,GPE,6297,6304
"the year 2,000",DATE,6386,6400
DH,ORG,6466,6468
Bloomington,GPE,6866,6877
Vietnam,GPE,7303,7310
Indiana University,ORG,7416,7434
summer,DATE,7467,7473
one,CARDINAL,8753,8756
second,ORDINAL,8990,8996
Carter,PERSON,9131,9137
Thousands,CARDINAL,9428,9437
Carter,PERSON,10157,10163
two,CARDINAL,10317,10320
2 May 1,DATE,10414,10421
first,ORDINAL,10617,10622
Nixon,PERSON,10683,10688
Southeast Asia,LOC,10701,10715
Carter,PERSON,10798,10804
one,CARDINAL,10815,10818
first,ORDINAL,11002,11007
two,CARDINAL,11815,11818
Southeast Asia,LOC,11856,11870
years,DATE,12031,12036
One,CARDINAL,12129,12132
Secondly,ORDINAL,12212,12220
Dean Merit,WORK_OF_ART,12278,12288
years,DATE,12478,12483
year,DATE,12488,12492
year,DATE,12499,12503
Number three,CARDINAL,12588,12600
the Bobby Seale Defense Fund,ORG,12646,12674
Diane,PERSON,12694,12699
Michigan Study,ORG,12904,12918
four,CARDINAL,12937,12941
Indiana,GPE,13094,13101
Hudson,PERSON,13303,13309
the 19 fifties,DATE,13658,13672
"9,000 plus two",CARDINAL,14023,14037
3/4,CARDINAL,14083,14086
Sutton,PERSON,14305,14311
yesterday,DATE,14635,14644
Keith,PERSON,14977,14982
Mike,PERSON,14987,14991
one,CARDINAL,15014,15017
Carter,PERSON,15504,15510
Sutton,PERSON,15591,15597
Carter,PERSON,15612,15618
William Curly,PERSON,15665,15678
Paul Dobbs,PERSON,15680,15690
Susan Young,PERSON,15692,15703
Gregor,PERSON,15705,15711
Harry Hess,PERSON,15713,15723
Steve Emery,PERSON,15725,15736
Roger Knolton,PERSON,15738,15751
Mike Jones,PERSON,15753,15763
John,PERSON,15768,15772
the minutes,TIME,16043,16054
first,ORDINAL,16086,16091
Sutton,PERSON,16108,16114
yesterday,DATE,16248,16257
the Evansville Press,ORG,16368,16388
Evansville Press,ORG,16515,16531
Oda,LOC,17171,17174
first,ORDINAL,17367,17372
Evansville,ORG,17520,17530
Black Panther Militants,ORG,17993,18016
Mark,PERSON,18069,18073
today,DATE,18184,18189
about 50,CARDINAL,18357,18365
200,CARDINAL,18452,18455
400,CARDINAL,18459,18462
50,CARDINAL,18624,18626
four,CARDINAL,18723,18727
half,CARDINAL,18823,18827
last week,DATE,18875,18884
Sutton,PERSON,19155,19161
Bloomington,GPE,19237,19248
Keith,PERSON,19418,19423
today,DATE,19487,19492
Indiana University,ORG,19714,19732
Keith,PERSON,19761,19766
tonight,TIME,19767,19774
Evansville,ORG,19856,19866
Cambodia,GPE,19977,19985
Satin,PERSON,19991,19996
Thailand,GPE,20011,20019
three years,DATE,20024,20035
Mr Sutton's,PERSON,20634,20645
Keith,PERSON,20756,20761
yesterday,DATE,20777,20786
Sultan,PERSON,21218,21224
Parker,PERSON,21273,21279
Cambodia,GPE,21386,21394
second,ORDINAL,21436,21442
one,CARDINAL,21453,21456
the past weekend,DATE,21519,21535
Keith Parker,PERSON,21569,21581
Parker,PERSON,21645,21651
Michael,PERSON,21845,21852
first,ORDINAL,22048,22053
Tio,PERSON,22055,22058
one,CARDINAL,22059,22062
Bobby Seale,PERSON,22091,22102
Indiana,GPE,22258,22265
Bobby Seale,PERSON,22368,22379
Mike,PERSON,22542,22546
