text,type,start_char,end_char
1,CARDINAL,8,9
second,ORDINAL,68,74
Patten,PERSON,75,81
this week,DATE,93,102
two,CARDINAL,136,139
William Patten,PERSON,146,160
"some 4,000",CARDINAL,238,248
"5,000",CARDINAL,250,255
this year,DATE,289,298
today,DATE,331,336
Balkan,NORP,396,402
Balkan,NORP,413,419
"about 100 years, 1893",DATE,534,555
Bloomington,GPE,724,735
New York,GPE,815,823
the West Coast,LOC,836,850
Bloomington,GPE,896,907
About 40 years,DATE,949,963
Alexander Astin,PERSON,1134,1149
William Patten,PERSON,1219,1233
the Department of English,ORG,1262,1287
Astin,PERSON,1353,1358
2,CARDINAL,1370,1371
Alexander Astin's,PERSON,1384,1401
American,NORP,1486,1494
the past four years,DATE,1735,1754
more than 30 years,DATE,1940,1958
American,NORP,2013,2021
Rolodexes,PRODUCT,2145,2154
Bachelor,PERSON,2452,2460
Gettysburg College,ORG,2482,2500
PhD,WORK_OF_ART,2506,2509
the University of Maryland,ORG,2529,2555
the National Merit Scholarship Corporation,ORG,2584,2626
the American Council,ORG,2658,2678
UCLA,ORG,2719,2723
Allan Murray Carter,PERSON,2741,2760
the Higher Education Research Institute,ORG,2807,2846
18,CARDINAL,2880,2882
more than 300,CARDINAL,2890,2903
annual,DATE,2968,2974
American,NORP,2986,2994
Four Critical Years,EVENT,3047,3066
more than a decade,DATE,3078,3096
Madison College,ORG,3190,3205
Four,CARDINAL,3207,3211
1993,DATE,3251,3255
Astin,PERSON,3267,3272
"more than 20,000",CARDINAL,3292,3308
"25,000",CARDINAL,3319,3325
200,CARDINAL,3347,3350
10,CARDINAL,3607,3609
Change,ORG,3754,3760
This week,DATE,3881,3890
Bloomington,GPE,4005,4016
the Patten Foundation,ORG,4038,4059
the School of Education,ORG,4223,4246
annual,DATE,4443,4449
Astin,PERSON,4588,4593
ALEXANDER ASTIN,PERSON,4600,4615
one,CARDINAL,5535,5538
GPA,ORG,5677,5680
this afternoon,TIME,5834,5848
the United States,GPE,6329,6346
recent years,DATE,6367,6379
