text,label,start_char,end_char
second,ORDINAL,61,67
this week,DATE,80,89
"9,000",CARDINAL,214,219
today,DATE,294,299
Balkan,LOC,351,357
Balkan,NORP,363,369
about this year,DATE,421,436
Bill,PERSON,444,448
100 years 18 93,DATE,489,504
Louise,PERSON,655,661
New York,GPE,736,744
the West Coast,LOC,750,764
Georgia,GPE,835,842
40 years ago,DATE,864,876
Ji Young,PERSON,1110,1118
Lewis,PERSON,1143,1148
the Department of English,ORG,1152,1177
American,NORP,1269,1277
today,DATE,1412,1417
40 years,DATE,1482,1490
Annual,DATE,1599,1605
more than 30 years,DATE,1649,1667
Lady Place on the Road,WORK_OF_ART,1802,1824
the National Merit Scholarship Corporation,ORG,2129,2171
Research Council Education,ORG,2187,2213
Carter,PERSON,2267,2273
the Higher Education Research,ORG,2311,2340
three,CARDINAL,2372,2377
1/4,CARDINAL,2442,2445
The Land Far for years,ORG,2494,2516
the decade,DATE,2528,2538
Matters College,ORG,2619,2634
1993,DATE,2666,2670
First,ORDINAL,2672,2677
20 pounds,QUANTITY,2708,2717
"3,000",CARDINAL,2719,2724
Dude,PERSON,2782,2786
"1,000 degrees",QUANTITY,2911,2924
This week,DATE,3126,3135
Factory Campus,FAC,3215,3229
Business and Spear,ORG,3456,3474
Daniel,PERSON,3583,3589
four,CARDINAL,4850,4854
the United States,GPE,5465,5482
recent years,DATE,5503,5515
Tuesday,DATE,7163,7170
night,TIME,7171,7176
Robert Maynard Hutchins,PERSON,8361,8384
American,NORP,8920,8928
these days,DATE,9326,9336
America,GPE,10026,10033
Western Europe,LOC,10089,10103
the Pacific Rim,LOC,10150,10165
Toe,PERSON,11123,11126
North,LOC,11941,11946
John Dewey's,PERSON,12406,12418
American,NORP,12632,12640
Academie,ORG,13169,13177
Studentssuccess,LOC,13673,13688
American,NORP,14256,14264
US,GPE,14857,14859
Daniel Goldman,PERSON,15429,15443
two,CARDINAL,15947,15950
American,NORP,16090,16098
English,NORP,16820,16827
American,NORP,17164,17172
Tuesday evening,TIME,18022,18037
this afternoon,TIME,18198,18212
Sandy,PERSON,18313,18318
Andi,PERSON,19042,19046
Tuesday,DATE,19105,19112
night,TIME,19113,19118
three,CARDINAL,19783,19788
one,CARDINAL,20295,20298
American,NORP,22075,22083
MALP,ORG,22768,22772
first,ORDINAL,22862,22867
second,ORDINAL,23000,23006
two,CARDINAL,23525,23528
American,NORP,23846,23854
two,CARDINAL,24580,24583
a few 100,CARDINAL,24690,24699
Division One,ORG,24763,24775
Division One,ORG,24854,24866
Smartness,PRODUCT,27037,27046
two,CARDINAL,27339,27342
Studentssuccess,ORG,28720,28735
R. Smartness,PERSON,30293,30305
American,NORP,30882,30890
Khun B,PERSON,30913,30919
"3,000",CARDINAL,30994,30999
Studentssuccess,ORG,33097,33112
the G p A.,PRODUCT,34222,34232
Anna,PERSON,34692,34696
second,ORDINAL,35240,35246
Studentssuccess,ORG,36707,36722
more than a century and 1/2 ago,DATE,37859,37890
Tuesday,DATE,38307,38314
night,TIME,38315,38320
today,DATE,38551,38556
this afternoon,TIME,38678,38692
six,CARDINAL,39680,39683
one,CARDINAL,39998,40001
the past few years,DATE,40220,40238
Studentssuccess,ORG,40903,40918
Mohr,PERSON,41864,41868
Dick McCabe,PERSON,42186,42197
100%,PERCENT,42217,42221
that day,DATE,42282,42290
Teo,PERSON,42342,42345
17th,ORDINAL,42435,42439
Spring Symposium,EVENT,42447,42463
Persistence Graduation,WORK_OF_ART,42540,42562
year,DATE,42579,42583
the Office for American Affairs,ORG,42621,42652
Office of the,ORG,42751,42764
Student Affairs,ORG,42842,42857
5 30,CARDINAL,43017,43021
today,DATE,43060,43065
tomorrow,DATE,43120,43128
SYRIZA,ORG,43141,43147
nine o'clock,TIME,43174,43186
the day,DATE,43216,43223
three,CARDINAL,43238,43243
over 70,CARDINAL,43273,43280
45,CARDINAL,43315,43317
Bloomington,GPE,43510,43521
this afternoon,TIME,43637,43651
Tomorrow,DATE,43932,43940
morning,TIME,43941,43948
15 in the morning,TIME,43992,44009
day,DATE,44093,44096
the morning,TIME,44164,44175
the day,DATE,44276,44283
this afternoon,TIME,44324,44338
Christian,NORP,45096,45105
Ana,PERSON,45777,45780
Titanic,PERSON,46421,46428
Berg,PERSON,46483,46487
Indiana University,ORG,46613,46631
two,CARDINAL,47109,47112
two,CARDINAL,47179,47182
one,CARDINAL,47317,47320
Success,ORG,47776,47783
two,CARDINAL,48297,48300
two,CARDINAL,48302,48305
Alex Research,ORG,48597,48610
two,CARDINAL,49259,49262
LA,GPE,50877,50879
10 year,DATE,50996,51003
Young 40 years ago,DATE,52216,52234
Jacob Booth,PERSON,52257,52268
eight year old,DATE,52302,52316
20 years later,DATE,52363,52377
Jacob,PERSON,52688,52693
fifties,DATE,52743,52750
fifties early sixties,DATE,52762,52783
Jacobs,PERSON,53306,53312
Tio,PERSON,53528,53531
Five,CARDINAL,54072,54076
One,CARDINAL,54286,54289
Tuesday,DATE,54495,54502
night,TIME,54503,54508
today,DATE,54572,54577
Tuesday,DATE,55645,55652
night,TIME,55653,55658
today,DATE,55693,55698
Harbor,LOC,56336,56342
University,ORG,57396,57406
