text,type,start_char,end_char
--the 17th,DATE,10,20
This morning,TIME,22,34
the Bryan,IU_BUILDING,68,77
Administration Building,IU_BUILDING,78,101
Ballantine,ORG,156,166
Rawles Halls,ORG,171,183
Five,CARDINAL,185,189
this morning,TIME,234,246
Sutton,PERSON,458,464
Carter,PERSON,477,483
afternoon,TIME,511,520
Harry Pratter,PERSON,549,562
Keith Parker,IU_PERSON,616,628
HARRY PRATTER,PERSON,630,643
Harry Pratter,PERSON,678,691
Bryan Hall,IU_BUILDING,825,835
7:30 in the morning,TIME,842,861
the day,DATE,930,937
us--,ORG,1449,1453
today,DATE,2009,2014
one,CARDINAL,2023,2026
Dunn meadows,ORG,2194,2206
First,ORDINAL,2369,2374
Sutton,PERSON,2415,2421
Carter,PERSON,2454,2460
be-- can--,FAC,2936,2946
first,ORDINAL,3027,3032
the hour,TIME,3104,3112
first,ORDINAL,3135,3140
last-- talk--,ORG,3155,3168
an hour,TIME,3178,3185
KEITH PARKER,IU_PERSON,3187,3199
Keith Parker,IU_PERSON,3528,3540
afternoon,TIME,3613,3622
HARRY PRATTER,PERSON,3705,3718
Pryweller,PERSON,3724,3733
one,CARDINAL,3854,3857
if--,NORP,4009,4013
Dale Pryweller,PERSON,4185,4199
HARRY PRATTER,PERSON,4262,4275
one,CARDINAL,4465,4468
Sutton,PERSON,4547,4553
Carter,PERSON,4569,4575
Keith,PERSON,4586,4591
Michael,PERSON,4596,4603
this morning,TIME,4735,4747
eight,CARDINAL,4760,4765
Bryan Hall,IU_BUILDING,4800,4810
one,CARDINAL,4889,4892
bond--,CARDINAL,4954,4960
50,MONEY,4983,4985
400,MONEY,4996,4999
one,CARDINAL,5078,5081
Keith,PERSON,5682,5687
Student Government,IU_ORGANIZATION,5773,5791
Sutton,PERSON,5910,5916
JOSEPH SUTTON,PERSON,5940,5953
First,ORDINAL,5960,5965
JOSEPH SUTTON,PERSON,6113,6126
Evansville,GPE,6298,6308
Indiana,GPE,6310,6317
Evansville,GPE,6517,6527
Indiana,GPE,6529,6536
the year 2000,DATE,6618,6631
Bloomington,GPE,6927,6938
Bloomington,GPE,7006,7017
Vietnam,GPE,7546,7553
Indiana University,IU_ORGANIZATION,7659,7677
one,CARDINAL,9007,9010
second,ORDINAL,9232,9238
Carter,PERSON,9374,9380
BYRUM CARTER,IU_PERSON,10410,10422
DALE PRYWELLER,PERSON,10426,10440
Carter,PERSON,10453,10459
BYRUM CARTER,IU_PERSON,10461,10473
BYRUM CARTER,IU_PERSON,10533,10545
student government,IU_ORGANIZATION,10683,10701
May 1,DATE,10761,10766
first,ORDINAL,10965,10970
Nixon,PERSON,11032,11037
Southeast Asia,LOC,11050,11064
Carter,PERSON,11161,11167
one,CARDINAL,11178,11181
BYRUM CARTER,IU_PERSON,11241,11253
first,ORDINAL,11383,11388
two,CARDINAL,12201,12204
Southeast Asia,LOC,12241,12255
the IU Foundation,ORG,12278,12295
BYRUM CARTER,IU_PERSON,12344,12356
the IU Foundations,ORG,12371,12389
years,DATE,12433,12438
Secondly,ORDINAL,12617,12625
Dean Merritt,PERSON,12683,12695
years,DATE,12885,12890
year,DATE,12896,12900
year,DATE,12907,12911
three,CARDINAL,13004,13009
Bobby Seale,IU_PERSON,13060,13071
this Defense Fund,ORG,13186,13203
Michigan City,GPE,13316,13329
four,CARDINAL,13349,13353
state of Indiana,IU_ORGANIZATION,13499,13515
Herman Hudson,IU_PERSON,13740,13753
the 1950s,DATE,14104,14113
BYRUM CARTER,IU_PERSON,14298,14310
"9,000 plus to 7,000",CARDINAL,14498,14517
three quarters,DATE,14550,14564
BYRUM CARTER,IU_PERSON,14787,14799
Sutton,PERSON,14816,14822
faculty council,IU_ORGANIZATION,15109,15124
yesterday,DATE,15143,15152
DALE PRYWELLER,PERSON,15477,15491
Keith,PERSON,15510,15515
Mike,PERSON,15520,15524
student government,IU_ORGANIZATION,15785,15803
Sutton,PERSON,16029,16035
Carter,PERSON,16048,16054
Pratter,PERSON,16064,16071
Sutton,PERSON,16165,16171
Carter,PERSON,16187,16193
DALE PRYWELLER,PERSON,16224,16238
Those--,NORP,16240,16247
William Curley,PERSON,16275,16289
Paul Dobbs,PERSON,16291,16301
Susan Young,PERSON,16303,16314
Gregory Hess,PERSON,16316,16328
Steve Emery,PERSON,16330,16341
Roger,PERSON,16343,16348
Nalton,PERSON,16352,16358
Mike Jones,IU_PERSON,16363,16373
John Cowles,PERSON,16379,16390
the Student Body,WORK_OF_ART,16519,16535
Mike King,IU_PERSON,16537,16546
MIKE KING,IU_PERSON,16549,16558
Sutton,PERSON,16733,16739
yesterday,DATE,16880,16889
Evansville,GPE,17010,17020
Evansville,GPE,17155,17165
IU,GPE,17280,17282
first,ORDINAL,18009,18014
the Evansville Courier,FAC,18165,18187
IU,GPE,18314,18316
student government,IU_ORGANIZATION,18317,18335
Sutton,PERSON,18341,18347
IU,GPE,18539,18541
student government,IU_ORGANIZATION,18584,18602
Black Panther,PRODUCT,18645,18658
Mark  ,PERSON,18726,18732
today,DATE,18846,18851
about 50,CARDINAL,19024,19032
IU,GPE,19049,19051
200 to 400,CARDINAL,19127,19137
50,CARDINAL,19301,19303
four foot,QUANTITY,19407,19416
two half,CARDINAL,19511,19519
last week,DATE,19567,19576
vi--,ORG,19614,19618
Sutton,PERSON,19855,19861
Bloomington,GPE,19938,19949
two,CARDINAL,20107,20110
Keith,PERSON,20125,20130
today,DATE,20207,20212
Indiana University,IU_ORGANIZATION,20446,20464
Keith,PERSON,20497,20502
Evansville,GPE,20600,20610
the Evansville Courier,ORG,20640,20662
Cambodia,GPE,20714,20722
Sutton,PERSON,20728,20734
Thailand,GPE,20749,20757
three years,DATE,20762,20773
IU,GPE,21201,21203
Sutton,PERSON,21405,21411
Keith,PERSON,21536,21541
yesterday,DATE,21557,21566
that--,CARDINAL,21778,21784
Sutton,GPE,22013,22019
Carter,PERSON,22024,22030
HARRY PRATTER,PERSON,22050,22063
Sutton,PERSON,22108,22114
Parker,PERSON,22164,22170
JOSEPH SUTTON,PERSON,22206,22219
no--,PERSON,22249,22253
Cambodia,GPE,22319,22327
DALE PRYWELLER,PERSON,22341,22355
second,ORDINAL,22398,22404
one,CARDINAL,22418,22421
the past weekend,DATE,22483,22499
Keith Parker,IU_PERSON,22544,22556
Keith Parker,IU_PERSON,22632,22644
Keith Parker,IU_PERSON,22758,22770
KEITH PARKER,IU_PERSON,22772,22784
KEITH PARKER,IU_PERSON,22841,22853
Mike,PERSON,22924,22928
first,ORDINAL,23137,23142
one,CARDINAL,23151,23154
Bobby Seale--,PERSON,23190,23203
Indiana,GPE,23366,23373
Bobby Seale,IU_PERSON,23476,23487
Defense Fund,ORG,23490,23502
Mike,PERSON,23662,23666
yesterday--,PERSON,23678,23689
Mike,PERSON,23738,23742
Bryan Hall,IU_BUILDING,23803,23813
Mike,PERSON,23908,23912
Bryan,PERSON,24032,24037
200,CARDINAL,24038,24041
KEITH PARKER,IU_PERSON,24063,24075
Mike,PERSON,24175,24179
today,DATE,24261,24266
KEITH PARKER,IU_PERSON,24771,24783
Bryan,PERSON,24818,24823
Ballantine,ORG,24831,24841
today,DATE,24857,24862
10 seconds,TIME,24984,24994
DALE PRYWELLER,PERSON,25023,25037
HARRY PRATTER,PERSON,25265,25278
HARRY,PERSON,25489,25494
PRATTER,PERSON,25495,25502
DALE PRYWELLER,PERSON,25531,25545
Sutton,PERSON,25627,25633
Carter,PERSON,25649,25655
student government,IU_ORGANIZATION,26066,26084
Mike,PERSON,26368,26372
MIKE KING,IU_PERSON,26374,26383
student government,IU_ORGANIZATION,26526,26544
uh--  ,PERSON,26610,26616
Friday,DATE,26659,26665
DALE PRYWELLER,PERSON,26893,26907
she--,PERSON,26958,26963
KEITH PARKER,IU_PERSON,27493,27505
Um--,PERSON,27925,27929
HARRY PRATTER,PERSON,27930,27943
Carter,PERSON,27957,27963
DALE PRYWELLER,PERSON,27990,28004
Carter,PERSON,28017,28023
BYRUM CARTER,IU_PERSON,28038,28050
BYRUM CARTER,IU_PERSON,28205,28217
HARRY PRATTER,PERSON,28487,28500
DALE PRYWELLER,PERSON,28599,28613
HARRY,PERSON,28645,28650
PRATTER,PERSON,28651,28658
BYRUM CARTER,IU_PERSON,28687,28699
three quarters plus,CARDINAL,28754,28773
Nixon,PERSON,28798,28803
Cambodian,NORP,28806,28815
BYRUM CARTER,IU_PERSON,28826,28838
JOSEPH SUTTON,PERSON,28854,28867
HARRY PRATTER,PERSON,28881,28894
JOSEPH SUTTON,PERSON,29007,29020
HARRY,PERSON,29063,29068
PRATTER,PERSON,29069,29076
HARRY PRATTER,PERSON,29175,29188
JOSEPH SUTTON,PERSON,29360,29373
Bloomington,GPE,29456,29467
seven,CARDINAL,29545,29550
Bloomington,GPE,29564,29575
Bloomington,GPE,29596,29607
